updatetime,vehiclecount,_id,totalspaces,garagecode,streamtime
57:48.6,948,99,1240,SCANDCENTER,11/3/2014 16:18
57:48.6,22,100,953,BRUUNS,11/3/2014 16:18
57:48.6,103,101,130,BUSGADEHUSET,11/3/2014 16:18
57:48.6,225,102,400,MAGASIN,11/3/2014 16:18
57:48.6,97,103,210,KALKVAERKSVEJ,11/3/2014 16:18
57:48.6,324,104,700,SALLING,11/3/2014 16:18
27:48.7,0,105,65,NORREPORT,11/3/2014 16:18
27:48.7,0,106,512,SKOLEBAKKEN,11/3/2014 16:18
27:48.7,949,107,1240,SCANDCENTER,11/3/2014 16:18
27:48.7,22,108,953,BRUUNS,11/3/2014 16:18
27:48.7,105,109,130,BUSGADEHUSET,11/3/2014 16:18
27:48.7,268,110,400,MAGASIN,11/3/2014 16:18
27:48.7,106,111,210,KALKVAERKSVEJ,11/3/2014 16:18
27:48.7,394,112,700,SALLING,11/3/2014 16:18
57:48.7,0,113,65,NORREPORT,11/3/2014 16:18
57:48.7,0,114,512,SKOLEBAKKEN,11/3/2014 16:18
57:48.7,969,115,1240,SCANDCENTER,11/3/2014 16:18
57:48.7,22,116,953,BRUUNS,11/3/2014 16:18
57:48.7,120,117,130,BUSGADEHUSET,11/3/2014 16:18
57:48.7,310,118,400,MAGASIN,11/3/2014 16:18
57:48.7,110,119,210,KALKVAERKSVEJ,11/3/2014 16:18
57:48.7,445,120,700,SALLING,11/3/2014 16:18
27:48.8,0,121,65,NORREPORT,11/3/2014 16:18
27:48.8,0,122,512,SKOLEBAKKEN,11/3/2014 16:18
27:48.8,992,123,1240,SCANDCENTER,11/3/2014 16:18
27:48.8,22,124,953,BRUUNS,11/3/2014 16:18
27:48.8,133,125,130,BUSGADEHUSET,11/3/2014 16:18
27:48.8,338,126,400,MAGASIN,11/3/2014 16:18
27:48.8,100,127,210,KALKVAERKSVEJ,11/3/2014 16:18
27:48.8,517,128,700,SALLING,11/3/2014 16:18
10:48.1,0,129,65,NORREPORT,11/3/2014 16:18
10:48.1,0,130,512,SKOLEBAKKEN,11/3/2014 16:18
10:48.1,987,131,1240,SCANDCENTER,11/3/2014 16:18
10:48.1,22,132,953,BRUUNS,11/3/2014 16:18
10:48.1,146,133,130,BUSGADEHUSET,11/3/2014 16:18
10:48.1,328,134,400,MAGASIN,11/3/2014 16:18
10:48.1,94,135,210,KALKVAERKSVEJ,11/3/2014 16:18
10:48.1,529,136,700,SALLING,11/3/2014 16:18
40:48.2,0,137,65,NORREPORT,11/3/2014 16:18
40:48.2,0,138,512,SKOLEBAKKEN,11/3/2014 16:18
40:48.2,983,139,1240,SCANDCENTER,11/3/2014 16:18
40:48.2,22,140,953,BRUUNS,11/3/2014 16:18
40:48.2,152,141,130,BUSGADEHUSET,11/3/2014 16:18
40:48.2,333,142,400,MAGASIN,11/3/2014 16:18
40:48.2,90,143,210,KALKVAERKSVEJ,11/3/2014 16:18
40:48.2,538,144,700,SALLING,11/3/2014 16:18
50:38.9,0,145,65,NORREPORT,11/3/2014 16:18
50:38.9,0,146,512,SKOLEBAKKEN,11/3/2014 16:18
50:38.9,978,147,1240,SCANDCENTER,11/3/2014 16:18
50:38.9,22,148,953,BRUUNS,11/3/2014 16:18
50:38.9,149,149,130,BUSGADEHUSET,11/3/2014 16:18
50:38.9,359,150,400,MAGASIN,11/3/2014 16:18
50:38.9,79,151,210,KALKVAERKSVEJ,11/3/2014 16:18
50:38.9,532,152,700,SALLING,11/3/2014 16:18
02:55.1,0,153,65,NORREPORT,11/3/2014 16:18
02:55.1,0,154,512,SKOLEBAKKEN,11/3/2014 16:18
02:55.1,442,155,1240,SCANDCENTER,11/3/2014 16:18
02:55.1,22,156,953,BRUUNS,11/3/2014 16:18
02:55.1,164,157,130,BUSGADEHUSET,11/3/2014 16:18
02:55.1,291,158,400,MAGASIN,11/3/2014 16:18
02:55.1,45,159,210,KALKVAERKSVEJ,11/3/2014 16:18
02:55.1,362,160,700,SALLING,11/3/2014 16:18
01:59.4,0,161,65,NORREPORT,11/3/2014 16:18
01:59.4,0,162,512,SKOLEBAKKEN,11/3/2014 16:18
01:59.4,312,163,1240,SCANDCENTER,11/3/2014 16:18
01:59.4,22,164,953,BRUUNS,11/3/2014 16:18
01:59.4,66,165,130,BUSGADEHUSET,11/3/2014 16:18
01:59.4,45,166,400,MAGASIN,11/3/2014 16:18
01:59.4,31,167,210,KALKVAERKSVEJ,11/3/2014 16:18
01:59.4,81,168,700,SALLING,11/3/2014 16:18
33:20.4,0,169,65,NORREPORT,11/3/2014 16:18
33:20.4,0,170,512,SKOLEBAKKEN,11/3/2014 16:18
33:20.4,485,171,1240,SCANDCENTER,11/3/2014 16:18
33:20.4,22,172,953,BRUUNS,11/3/2014 16:18
33:20.4,81,173,130,BUSGADEHUSET,11/3/2014 16:18
33:20.4,35,174,400,MAGASIN,11/3/2014 16:18
33:20.4,30,175,210,KALKVAERKSVEJ,11/3/2014 16:18
33:20.4,63,176,700,SALLING,11/3/2014 16:18
58:18.5,0,177,65,NORREPORT,11/3/2014 16:18
58:18.5,0,178,512,SKOLEBAKKEN,11/3/2014 16:18
58:18.5,481,179,1240,SCANDCENTER,11/3/2014 16:18
58:18.5,22,180,953,BRUUNS,11/3/2014 16:18
58:18.5,85,181,130,BUSGADEHUSET,11/3/2014 16:18
58:18.5,35,182,400,MAGASIN,11/3/2014 16:18
58:18.5,30,183,210,KALKVAERKSVEJ,11/3/2014 16:18
58:18.5,61,184,700,SALLING,11/3/2014 16:18
28:17.7,0,185,65,NORREPORT,11/3/2014 16:18
28:17.7,0,186,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.7,474,187,1240,SCANDCENTER,11/3/2014 16:18
28:17.7,22,188,953,BRUUNS,11/3/2014 16:18
28:17.7,83,189,130,BUSGADEHUSET,11/3/2014 16:18
28:17.7,35,190,400,MAGASIN,11/3/2014 16:18
28:17.7,29,191,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.7,61,192,700,SALLING,11/3/2014 16:18
58:17.7,0,193,65,NORREPORT,11/3/2014 16:18
58:17.7,0,194,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,235,195,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,196,953,BRUUNS,11/3/2014 16:18
58:17.7,78,197,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,35,198,400,MAGASIN,11/3/2014 16:18
58:17.7,27,199,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,61,200,700,SALLING,11/3/2014 16:18
28:17.6,0,201,65,NORREPORT,11/3/2014 16:18
28:17.6,0,202,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.6,217,203,1240,SCANDCENTER,11/3/2014 16:18
28:17.6,22,204,953,BRUUNS,11/3/2014 16:18
28:17.6,76,205,130,BUSGADEHUSET,11/3/2014 16:18
28:17.6,33,206,400,MAGASIN,11/3/2014 16:18
28:17.6,27,207,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.6,61,208,700,SALLING,11/3/2014 16:18
58:17.7,0,209,65,NORREPORT,11/3/2014 16:18
58:17.7,0,210,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,214,211,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,212,953,BRUUNS,11/3/2014 16:18
58:17.7,76,213,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,32,214,400,MAGASIN,11/3/2014 16:18
58:17.7,26,215,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,60,216,700,SALLING,11/3/2014 16:18
28:17.7,0,217,65,NORREPORT,11/3/2014 16:18
28:17.7,0,218,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.7,212,219,1240,SCANDCENTER,11/3/2014 16:18
28:17.7,22,220,953,BRUUNS,11/3/2014 16:18
28:17.7,75,221,130,BUSGADEHUSET,11/3/2014 16:18
28:17.7,32,222,400,MAGASIN,11/3/2014 16:18
28:17.7,26,223,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.7,61,224,700,SALLING,11/3/2014 16:18
58:17.6,0,225,65,NORREPORT,11/3/2014 16:18
58:17.6,0,226,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.6,207,227,1240,SCANDCENTER,11/3/2014 16:18
58:17.6,22,228,953,BRUUNS,11/3/2014 16:18
58:17.6,73,229,130,BUSGADEHUSET,11/3/2014 16:18
58:17.6,31,230,400,MAGASIN,11/3/2014 16:18
58:17.6,26,231,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.6,60,232,700,SALLING,11/3/2014 16:18
28:17.7,0,233,65,NORREPORT,11/3/2014 16:18
28:17.7,0,234,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.7,206,235,1240,SCANDCENTER,11/3/2014 16:18
28:17.7,22,236,953,BRUUNS,11/3/2014 16:18
28:17.7,71,237,130,BUSGADEHUSET,11/3/2014 16:18
28:17.7,31,238,400,MAGASIN,11/3/2014 16:18
28:17.7,26,239,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.7,60,240,700,SALLING,11/3/2014 16:18
58:17.7,0,241,65,NORREPORT,11/3/2014 16:18
58:17.7,0,242,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,204,243,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,244,953,BRUUNS,11/3/2014 16:18
58:17.7,71,245,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,31,246,400,MAGASIN,11/3/2014 16:18
58:17.7,26,247,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,61,248,700,SALLING,11/3/2014 16:18
28:17.6,0,249,65,NORREPORT,11/3/2014 16:18
28:17.6,0,250,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.6,202,251,1240,SCANDCENTER,11/3/2014 16:18
28:17.6,22,252,953,BRUUNS,11/3/2014 16:18
28:17.6,71,253,130,BUSGADEHUSET,11/3/2014 16:18
28:17.6,31,254,400,MAGASIN,11/3/2014 16:18
28:17.6,26,255,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.6,61,256,700,SALLING,11/3/2014 16:18
58:17.6,0,257,65,NORREPORT,11/3/2014 16:18
58:17.6,0,258,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.6,202,259,1240,SCANDCENTER,11/3/2014 16:18
58:17.6,22,260,953,BRUUNS,11/3/2014 16:18
58:17.6,71,261,130,BUSGADEHUSET,11/3/2014 16:18
58:17.6,31,262,400,MAGASIN,11/3/2014 16:18
58:17.6,26,263,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.6,61,264,700,SALLING,11/3/2014 16:18
28:17.6,0,265,65,NORREPORT,11/3/2014 16:18
28:17.6,0,266,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.6,202,267,1240,SCANDCENTER,11/3/2014 16:18
28:17.6,22,268,953,BRUUNS,11/3/2014 16:18
28:17.6,72,269,130,BUSGADEHUSET,11/3/2014 16:18
28:17.6,31,270,400,MAGASIN,11/3/2014 16:18
28:17.6,26,271,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.6,63,272,700,SALLING,11/3/2014 16:18
58:17.7,0,273,65,NORREPORT,11/3/2014 16:18
58:17.7,0,274,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,203,275,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,276,953,BRUUNS,11/3/2014 16:18
58:17.7,72,277,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,31,278,400,MAGASIN,11/3/2014 16:18
58:17.7,26,279,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,63,280,700,SALLING,11/3/2014 16:18
28:17.7,0,281,65,NORREPORT,11/3/2014 16:18
28:17.7,0,282,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.7,203,283,1240,SCANDCENTER,11/3/2014 16:18
28:17.7,22,284,953,BRUUNS,11/3/2014 16:18
28:17.7,72,285,130,BUSGADEHUSET,11/3/2014 16:18
28:17.7,31,286,400,MAGASIN,11/3/2014 16:18
28:17.7,26,287,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.7,63,288,700,SALLING,11/3/2014 16:18
58:17.7,0,289,65,NORREPORT,11/3/2014 16:18
58:17.7,0,290,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,204,291,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,292,953,BRUUNS,11/3/2014 16:18
58:17.7,73,293,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,31,294,400,MAGASIN,11/3/2014 16:18
58:17.7,26,295,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,65,296,700,SALLING,11/3/2014 16:18
28:17.7,0,297,65,NORREPORT,11/3/2014 16:18
28:17.7,0,298,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.7,204,299,1240,SCANDCENTER,11/3/2014 16:18
28:17.7,22,300,953,BRUUNS,11/3/2014 16:18
28:17.7,71,301,130,BUSGADEHUSET,11/3/2014 16:18
28:17.7,31,302,400,MAGASIN,11/3/2014 16:18
28:17.7,26,303,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.7,66,304,700,SALLING,11/3/2014 16:18
58:17.7,0,305,65,NORREPORT,11/3/2014 16:18
58:17.7,0,306,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,207,307,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,308,953,BRUUNS,11/3/2014 16:18
58:17.7,70,309,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,32,310,400,MAGASIN,11/3/2014 16:18
58:17.7,26,311,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,65,312,700,SALLING,11/3/2014 16:18
28:17.7,0,313,65,NORREPORT,11/3/2014 16:18
28:17.7,0,314,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.7,220,315,1240,SCANDCENTER,11/3/2014 16:18
28:17.7,22,316,953,BRUUNS,11/3/2014 16:18
28:17.7,69,317,130,BUSGADEHUSET,11/3/2014 16:18
28:17.7,34,318,400,MAGASIN,11/3/2014 16:18
28:17.7,29,319,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.7,67,320,700,SALLING,11/3/2014 16:18
58:17.6,0,321,65,NORREPORT,11/3/2014 16:18
58:17.6,0,322,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.6,255,323,1240,SCANDCENTER,11/3/2014 16:18
58:17.6,22,324,953,BRUUNS,11/3/2014 16:18
58:17.6,65,325,130,BUSGADEHUSET,11/3/2014 16:18
58:17.6,35,326,400,MAGASIN,11/3/2014 16:18
58:17.6,35,327,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.6,68,328,700,SALLING,11/3/2014 16:18
28:17.6,0,329,65,NORREPORT,11/3/2014 16:18
28:17.6,0,330,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.6,293,331,1240,SCANDCENTER,11/3/2014 16:18
28:17.6,22,332,953,BRUUNS,11/3/2014 16:18
28:17.6,63,333,130,BUSGADEHUSET,11/3/2014 16:18
28:17.6,43,334,400,MAGASIN,11/3/2014 16:18
28:17.6,40,335,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.6,79,336,700,SALLING,11/3/2014 16:18
58:17.7,0,337,65,NORREPORT,11/3/2014 16:18
58:17.7,0,338,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,270,339,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,340,953,BRUUNS,11/3/2014 16:18
58:17.7,63,341,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,61,342,400,MAGASIN,11/3/2014 16:18
58:17.7,64,343,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,104,344,700,SALLING,11/3/2014 16:18
28:17.6,0,345,65,NORREPORT,11/3/2014 16:18
28:17.6,0,346,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.6,484,347,1240,SCANDCENTER,11/3/2014 16:18
28:17.6,22,348,953,BRUUNS,11/3/2014 16:18
28:17.6,68,349,130,BUSGADEHUSET,11/3/2014 16:18
28:17.6,87,350,400,MAGASIN,11/3/2014 16:18
28:17.6,84,351,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.6,146,352,700,SALLING,11/3/2014 16:18
58:17.7,0,353,65,NORREPORT,11/3/2014 16:18
58:17.7,0,354,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,667,355,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,356,953,BRUUNS,11/3/2014 16:18
58:17.7,87,357,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,123,358,400,MAGASIN,11/3/2014 16:18
58:17.7,95,359,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,239,360,700,SALLING,11/3/2014 16:18
28:17.6,0,361,65,NORREPORT,11/3/2014 16:18
28:17.6,0,362,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.6,786,363,1240,SCANDCENTER,11/3/2014 16:18
28:17.6,22,364,953,BRUUNS,11/3/2014 16:18
28:17.6,108,365,130,BUSGADEHUSET,11/3/2014 16:18
28:17.6,153,366,400,MAGASIN,11/3/2014 16:18
28:17.6,101,367,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.6,287,368,700,SALLING,11/3/2014 16:18
58:17.6,0,369,65,NORREPORT,11/3/2014 16:18
58:17.6,0,370,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.6,833,371,1240,SCANDCENTER,11/3/2014 16:18
58:17.6,22,372,953,BRUUNS,11/3/2014 16:18
58:17.6,113,373,130,BUSGADEHUSET,11/3/2014 16:18
58:17.6,174,374,400,MAGASIN,11/3/2014 16:18
58:17.6,105,375,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.6,349,376,700,SALLING,11/3/2014 16:18
28:17.6,0,377,65,NORREPORT,11/3/2014 16:18
28:17.6,0,378,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.6,845,379,1240,SCANDCENTER,11/3/2014 16:18
28:17.6,22,380,953,BRUUNS,11/3/2014 16:18
28:17.6,132,381,130,BUSGADEHUSET,11/3/2014 16:18
28:17.6,202,382,400,MAGASIN,11/3/2014 16:18
28:17.6,107,383,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.6,422,384,700,SALLING,11/3/2014 16:18
58:17.7,0,385,65,NORREPORT,11/3/2014 16:18
58:17.7,0,386,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,861,387,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,388,953,BRUUNS,11/3/2014 16:18
58:17.7,139,389,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,241,390,400,MAGASIN,11/3/2014 16:18
58:17.7,112,391,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,462,392,700,SALLING,11/3/2014 16:18
28:17.6,0,393,65,NORREPORT,11/3/2014 16:18
28:17.6,0,394,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.6,880,395,1240,SCANDCENTER,11/3/2014 16:18
28:17.6,22,396,953,BRUUNS,11/3/2014 16:18
28:17.6,157,397,130,BUSGADEHUSET,11/3/2014 16:18
28:17.6,267,398,400,MAGASIN,11/3/2014 16:18
28:17.6,113,399,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.6,482,400,700,SALLING,11/3/2014 16:18
58:17.7,0,401,65,NORREPORT,11/3/2014 16:18
58:17.7,0,402,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,889,403,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,404,953,BRUUNS,11/3/2014 16:18
58:17.7,137,405,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,282,406,400,MAGASIN,11/3/2014 16:18
58:17.7,114,407,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,483,408,700,SALLING,11/3/2014 16:18
28:17.7,0,409,65,NORREPORT,11/3/2014 16:18
28:17.7,0,410,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.7,886,411,1240,SCANDCENTER,11/3/2014 16:18
28:17.7,22,412,953,BRUUNS,11/3/2014 16:18
28:17.7,113,413,130,BUSGADEHUSET,11/3/2014 16:18
28:17.7,283,414,400,MAGASIN,11/3/2014 16:18
28:17.7,107,415,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.7,496,416,700,SALLING,11/3/2014 16:18
58:17.7,0,417,65,NORREPORT,11/3/2014 16:18
58:17.7,0,418,512,SKOLEBAKKEN,11/3/2014 16:18
58:17.7,896,419,1240,SCANDCENTER,11/3/2014 16:18
58:17.7,22,420,953,BRUUNS,11/3/2014 16:18
58:17.7,118,421,130,BUSGADEHUSET,11/3/2014 16:18
58:17.7,306,422,400,MAGASIN,11/3/2014 16:18
58:17.7,106,423,210,KALKVAERKSVEJ,11/3/2014 16:18
58:17.7,526,424,700,SALLING,11/3/2014 16:18
28:17.7,0,425,65,NORREPORT,11/3/2014 16:18
28:17.7,0,426,512,SKOLEBAKKEN,11/3/2014 16:18
28:17.7,901,427,1240,SCANDCENTER,11/3/2014 16:18
28:17.7,22,428,953,BRUUNS,11/3/2014 16:18
28:17.7,117,429,130,BUSGADEHUSET,11/3/2014 16:18
28:17.7,325,430,400,MAGASIN,11/3/2014 16:18
28:17.7,111,431,210,KALKVAERKSVEJ,11/3/2014 16:18
28:17.7,523,432,700,SALLING,11/3/2014 16:18
58:17.9,0,433,65,NORREPORT,11/3/2014 16:18
58:17.9,0,434,512,SKOLEBAKKEN,11/3/2014 16:18
